match_id,status,reason
NA1_5504822714,loaded,ok
NA1_5504828666,loaded,ok
NA1_5504832506,loaded,ok
NA1_5504846040,loaded,ok
NA1_5504852362,loaded,ok
NA1_5504877469,loaded,ok
NA1_5504879669,loaded,ok
NA1_5504889662,loaded,ok
NA1_5504896046,loaded,ok
NA1_5504901946,loaded,ok
NA1_5504905362,loaded,ok
NA1_5504905948,loaded,ok
NA1_5504913691,loaded,ok
NA1_5504918767,loaded,ok
NA1_5504920699,loaded,ok
NA1_5504925931,loaded,ok
NA1_5504929980,loaded,ok
NA1_5504930018,loaded,ok
NA1_5504935835,loaded,ok
NA1_5504940992,loaded,ok
NA1_5504943829,loaded,ok
NA1_5504949473,loaded,ok
NA1_5504955658,loaded,ok
NA1_5504963820,loaded,ok
NA1_5504973488,loaded,ok
NA1_5504979091,loaded,ok
NA1_5504988007,loaded,ok
NA1_5504993247,loaded,ok
NA1_5504998644,loaded,ok
NA1_5505014245,loaded,ok
NA1_5505015158,loaded,ok
NA1_5505015412,loaded,ok
NA1_5505026543,loaded,ok
NA1_5505033897,loaded,ok
NA1_5505092710,skipped,missing_match_or_timeline
NA1_5505127524,loaded,ok
NA1_5505156844,loaded,ok
NA1_5505172705,loaded,ok
NA1_5505181729,loaded,ok
NA1_5505211626,loaded,ok
NA1_5505212698,loaded,ok
NA1_5505224634,loaded,ok
NA1_5505271928,loaded,ok
NA1_5505277851,loaded,ok
NA1_5505337735,loaded,ok
NA1_5505359167,loaded,ok
NA1_5505385683,loaded,ok
NA1_5505392771,loaded,ok
NA1_5505406539,loaded,ok
NA1_5505413262,loaded,ok
NA1_5505433347,loaded,ok
NA1_5505439889,loaded,ok
NA1_5505445879,loaded,ok
NA1_5505449824,loaded,ok
NA1_5505461489,loaded,ok
NA1_5505540488,loaded,ok
NA1_5505552085,loaded,ok
NA1_5505561941,loaded,ok
NA1_5505667506,loaded,ok
NA1_5505673092,loaded,ok
NA1_5505688466,loaded,ok
NA1_5505689309,loaded,ok
NA1_5505703982,loaded,ok
NA1_5505717960,loaded,ok
NA1_5505725494,loaded,ok
NA1_5505735851,loaded,ok
NA1_5505782026,loaded,ok
NA1_5505807973,loaded,ok
NA1_5505822663,loaded,ok
NA1_5505853938,loaded,ok
NA1_5505863103,loaded,ok
NA1_5505878046,loaded,ok
NA1_5505918814,loaded,ok
NA1_5505940258,loaded,ok
NA1_5505948831,loaded,ok
NA1_5505955745,loaded,ok
NA1_5505976541,loaded,ok
NA1_5505981875,loaded,ok
NA1_5506031559,loaded,ok
NA1_5506059481,loaded,ok
NA1_5506066597,loaded,ok
NA1_5506115574,loaded,ok
NA1_5506154468,loaded,ok
NA1_5506159430,loaded,ok
NA1_5506164170,loaded,ok
NA1_5506168164,loaded,ok
NA1_5506227486,loaded,ok
NA1_5506273227,loaded,ok
NA1_5506278065,loaded,ok
NA1_5506298303,loaded,ok
NA1_5506302646,loaded,ok
NA1_5506313681,loaded,ok
NA1_5506314126,loaded,ok
NA1_5506314465,loaded,ok
NA1_5506334204,loaded,ok
NA1_5506338129,loaded,ok
NA1_5506351629,loaded,ok
NA1_5506352456,loaded,ok
NA1_5506369546,loaded,ok
NA1_5506369824,loaded,ok
NA1_5506374784,loaded,ok
NA1_5506387618,loaded,ok
NA1_5506390355,loaded,ok
NA1_5506393992,loaded,ok
NA1_5506406712,loaded,ok
NA1_5506416971,loaded,ok
NA1_5506433391,loaded,ok
NA1_5506442827,loaded,ok
NA1_5506448117,loaded,ok
NA1_5506452383,loaded,ok
NA1_5506477806,loaded,ok
NA1_5506552671,loaded,ok
NA1_5506633316,loaded,ok
NA1_5506662327,loaded,ok
NA1_5506691392,loaded,ok
NA1_5506714061,loaded,ok
NA1_5506715081,loaded,ok
NA1_5506735391,loaded,ok
NA1_5506738949,loaded,ok
NA1_5506740589,loaded,ok
NA1_5506760821,loaded,ok
NA1_5506778878,loaded,ok
NA1_5506842201,loaded,ok
NA1_5506849005,loaded,ok
NA1_5506855091,loaded,ok
NA1_5506857638,loaded,ok
NA1_5506864290,loaded,ok
NA1_5506877462,loaded,ok
NA1_5506888205,loaded,ok
NA1_5506891168,loaded,ok
NA1_5506891499,loaded,ok
NA1_5506895519,loaded,ok
NA1_5506901952,loaded,ok
NA1_5506908920,loaded,ok
NA1_5506909395,loaded,ok
NA1_5506913185,loaded,ok
NA1_5506916255,loaded,ok
NA1_5506926849,loaded,ok
NA1_5506928014,loaded,ok
NA1_5506934978,loaded,ok
NA1_5506936480,loaded,ok
NA1_5506942799,loaded,ok
NA1_5506951524,loaded,ok
NA1_5506952102,loaded,ok
NA1_5506958815,loaded,ok
NA1_5506964659,loaded,ok
NA1_5506965725,loaded,ok
NA1_5506967309,loaded,ok
NA1_5506980950,loaded,ok
NA1_5506988029,loaded,ok
NA1_5506989113,loaded,ok
NA1_5506990141,loaded,ok
NA1_5507002115,loaded,ok
NA1_5507006940,loaded,ok
NA1_5507015812,loaded,ok
NA1_5507020620,loaded,ok
NA1_5507027327,loaded,ok
NA1_5507038451,loaded,ok
NA1_5507040886,loaded,ok
NA1_5507043954,loaded,ok
NA1_5507046462,loaded,ok
NA1_5507057452,loaded,ok
NA1_5507058913,loaded,ok
NA1_5507061599,loaded,ok
NA1_5507074684,loaded,ok
NA1_5507094019,loaded,ok
NA1_5507158777,loaded,ok
NA1_5507168408,loaded,ok
NA1_5507169572,loaded,ok
NA1_5507188395,loaded,ok
NA1_5507214541,loaded,ok
NA1_5507277477,loaded,ok
NA1_5507278773,loaded,ok
NA1_5507289981,loaded,ok
NA1_5507315205,loaded,ok
NA1_5507372875,loaded,ok
NA1_5507389842,loaded,ok
NA1_5507390690,loaded,ok
NA1_5507564121,loaded,ok
NA1_5507567417,loaded,ok
NA1_5507582373,loaded,ok
NA1_5507585544,loaded,ok
NA1_5507620087,loaded,ok
NA1_5507625830,loaded,ok
NA1_5507637043,loaded,ok
NA1_5507661803,loaded,ok
NA1_5507677959,loaded,ok
NA1_5507681839,loaded,ok
NA1_5507690497,loaded,ok
NA1_5507692377,loaded,ok
NA1_5507693490,loaded,ok
NA1_5507698020,loaded,ok
NA1_5507701174,loaded,ok
NA1_5507706823,loaded,ok
NA1_5507709046,loaded,ok
NA1_5507726701,loaded,ok
NA1_5507776093,loaded,ok
NA1_5507782776,loaded,ok
NA1_5507791262,loaded,ok
NA1_5507805601,loaded,ok
NA1_5507824263,loaded,ok
NA1_5507848908,loaded,ok
NA1_5507918277,loaded,ok
NA1_5507931158,loaded,ok
NA1_5507951137,loaded,ok
NA1_5507968816,loaded,ok
NA1_5507987131,loaded,ok
NA1_5507990761,loaded,ok
NA1_5508008832,loaded,ok
