stage,model_name,accuracy,precision,recall,f1
stage_20,random_forest,0.6764705882352942,0.7,0.7368421052631579,0.717948717948718
stage_20,gradient_boosting,0.6764705882352942,0.7222222222222222,0.6842105263157895,0.7027027027027027
stage_40,random_forest,0.9117647058823529,0.8636363636363636,1.0,0.9268292682926829
stage_40,gradient_boosting,0.8823529411764706,0.8260869565217391,1.0,0.9047619047619047
stage_60,random_forest,0.9705882352941176,0.95,1.0,0.9743589743589743
stage_60,gradient_boosting,0.9411764705882353,0.9047619047619048,1.0,0.9500000000000001
stage_80,random_forest,0.9705882352941176,0.95,1.0,0.9743589743589743
stage_80,gradient_boosting,1.0,1.0,1.0,1.0
