stage,best_model,accuracy,incremental_contribution,normalized_share
stage_20,random_forest,0.6764705882352942,0.6764705882352942,0.6764705882352942
stage_40,random_forest,0.9117647058823528,0.23529411764705865,0.23529411764705865
stage_60,random_forest,0.9705882352941176,0.05882352941176483,0.05882352941176483
stage_80,gradient_boosting,1.0,0.02941176470588236,0.02941176470588236
