stage,best_model,accuracy,precision,recall,f1
stage_20,random_forest,0.6764705882352942,0.7,0.7368421052631579,0.717948717948718
stage_40,random_forest,0.9117647058823528,0.8636363636363636,1.0,0.9268292682926828
stage_60,random_forest,0.9705882352941176,0.95,1.0,0.9743589743589745
stage_80,gradient_boosting,1.0,1.0,1.0,1.0
